timestamp,sxr_flux,hxr_flux
2026-06-30 08:59:00+00:00,1.5288459280782263e-06,1.981388386695926e-08
2026-06-30 09:00:00+00:00,1.5238637161019142e-06,1.8056974582236762e-08
2026-06-30 09:01:00+00:00,1.5321226101150387e-06,2.167909407546631e-08
2026-06-30 09:02:00+00:00,1.5849869896555902e-06,2.6848869794093844e-08
2026-06-30 09:03:00+00:00,1.5858836377447005e-06,2.6420529763981904e-08
2026-06-30 09:04:00+00:00,1.5836718603168265e-06,2.5658900781877492e-08
2026-06-30 09:05:00+00:00,1.6198792991417577e-06,3.1474797879127436e-08
2026-06-30 09:06:00+00:00,1.70985128988832e-06,4.169902823036864e-08
2026-06-30 09:07:00+00:00,1.8038375628748327e-06,4.590618729594098e-08
2026-06-30 09:08:00+00:00,1.80035681296431e-06,4.185881863350005e-08
2026-06-30 09:09:00+00:00,1.6947894891927717e-06,3.183542673923512e-08
2026-06-30 09:10:00+00:00,1.6340692354788189e-06,2.3713477403930483e-08
2026-06-30 09:11:00+00:00,1.6026947378122713e-06,2.554890343731131e-08
2026-06-30 09:12:00+00:00,1.6253668491117423e-06,2.804421228574938e-08
2026-06-30 09:13:00+00:00,1.675579937909788e-06,3.23790416700831e-08
2026-06-30 09:14:00+00:00,1.8046281411443488e-06,4.2616260742533996e-08
2026-06-30 09:15:00+00:00,2.1178420865908265e-06,8.752945745982288e-08
2026-06-30 09:16:00+00:00,2.412832145637367e-06,1.282608224073556e-07
2026-06-30 09:17:00+00:00,2.625119805088616e-06,1.5425666788360104e-07
2026-06-30 09:18:00+00:00,2.7391301955503877e-06,1.597465342229043e-07
2026-06-30 09:19:00+00:00,2.817123913700925e-06,1.568508878335706e-07
2026-06-30 09:20:00+00:00,2.857164645320154e-06,1.4741274867446919e-07
2026-06-30 09:21:00+00:00,2.8207591640239116e-06,1.2794755832601368e-07
2026-06-30 09:22:00+00:00,2.7589703677222133e-06,1.1859941650982364e-07
2026-06-30 09:23:00+00:00,2.7751557354349643e-06,1.200656072342099e-07
2026-06-30 09:24:00+00:00,2.7495734684634954e-06,1.0995915999956196e-07
2026-06-30 09:25:00+00:00,2.6897157567873364e-06,9.783328636103761e-08
2026-06-30 09:26:00+00:00,2.79461119134794e-06,1.1349347772693363e-07
2026-06-30 09:27:00+00:00,2.878825171137578e-06,1.2593979192843108e-07
2026-06-30 09:28:00+00:00,2.84163456854003e-06,1.1305401415029337e-07
2026-06-30 09:29:00+00:00,2.7179380595043767e-06,9.328444861012031e-08
2026-06-30 09:30:00+00:00,2.6262789560860256e-06,8.770187776008243e-08
2026-06-30 09:31:00+00:00,2.542302127039875e-06,8.084474245606543e-08
2026-06-30 09:32:00+00:00,2.4589276108599734e-06,7.459297535206133e-08
2026-06-30 09:33:00+00:00,2.502251390978927e-06,8.619094415962536e-08
2026-06-30 09:34:00+00:00,2.8256920359126525e-06,1.4327584096918144e-07
2026-06-30 09:35:00+00:00,3.2464281503052916e-06,1.9047172372665955e-07
2026-06-30 09:36:00+00:00,3.316175025247503e-06,1.774403557419646e-07
2026-06-30 09:37:00+00:00,3.043729975615861e-06,1.363189028324996e-07
2026-06-30 09:38:00+00:00,2.6935904315905645e-06,9.811201095999422e-08
2026-06-30 09:39:00+00:00,2.470416347932769e-06,7.911870625321171e-08
2026-06-30 09:40:00+00:00,2.318014594493434e-06,6.66644268676464e-08
2026-06-30 09:41:00+00:00,2.200731387347332e-06,6.048166767413932e-08
2026-06-30 09:42:00+00:00,2.0864490579697303e-06,5.04883885810159e-08
2026-06-30 09:43:00+00:00,1.9790973055933136e-06,4.355822724733116e-08
2026-06-30 09:44:00+00:00,1.8942148471978726e-06,3.7906509930962784e-08
